Epoch,Train_Loss,RMSE,MAE,R2
1,0.021463921204592812,0.12362116808540553,0.08296144753694534,0.544130265712738
2,0.011081876864088425,0.0879977024339601,0.062295734882354736,0.7690075635910034
3,0.008300398149859736,0.09703608529241313,0.0613575354218483,0.7191195487976074
4,0.007394246831502053,0.08812910679960548,0.061274848878383636,0.7683172225952148
5,0.007024953420862884,0.07757706719702068,0.05468432977795601,0.8204762935638428
6,0.006627959428656408,0.08409755034118671,0.056113436818122864,0.7890294790267944
7,0.006441815256360261,0.07466995341392171,0.05150832608342171,0.8336790800094604
8,0.006127338382237426,0.07273719582890693,0.05006720498204231,0.8421777486801147
9,0.005767536335042678,0.07549797183432629,0.052024032920598984,0.8299700021743774
10,0.0058070301961646795,0.07309637496221583,0.05037331581115723,0.8406152725219727
11,0.005723376947143526,0.07194533767766033,0.05131683871150017,0.8455953598022461
12,0.0054222451255875916,0.0693551862888713,0.047534484416246414,0.8565129041671753
13,0.005298153352615533,0.07098207282834484,0.051266785711050034,0.8497022390365601
14,0.005050933268006809,0.07015752269762925,0.0480065755546093,0.8531737923622131
15,0.005037576974299394,0.06982767323304925,0.047891780734062195,0.8545511960983276
16,0.004701676359271754,0.0670008024064898,0.04761649668216705,0.8660893440246582
17,0.0046017586590845466,0.06702334816470175,0.04437340423464775,0.8659992218017578
18,0.0045054238191155225,0.06501128803640653,0.0436081737279892,0.8739239573478699
19,0.004441717679797234,0.06491595321575605,0.043272025883197784,0.8742934465408325
20,0.004272802978555453,0.06869641052317783,0.04574244096875191,0.8592257499694824
21,0.004106686043515391,0.07054123165734322,0.05034421756863594,0.8515633344650269
22,0.0038645030403773382,0.0651400868347165,0.04170820862054825,0.8734239339828491
23,0.0038703432702972993,0.06569204822205503,0.04322240874171257,0.871269702911377
24,0.003695301136544645,0.06738106061897135,0.04502531513571739,0.8645650744438171
25,0.003555397631263237,0.05998017844226458,0.03906157985329628,0.8926824927330017
26,0.003430132065927062,0.06286163683796676,0.04212881252169609,0.8821237087249756
27,0.0033724008820118956,0.06589911155830804,0.04248571768403053,0.8704569339752197
28,0.0032371370471082628,0.059312622658067096,0.03839941695332527,0.8950580358505249
29,0.0031882173162183095,0.05966500861821484,0.03976026922464371,0.8938073515892029
30,0.0029812510934682317,0.05873260337494807,0.03872954472899437,0.8971004486083984
31,0.00297293028801077,0.05674149722441408,0.03748374432325363,0.9039590358734131
32,0.002915495373599697,0.05453431652663923,0.03573128581047058,0.9112854599952698
33,0.0025779794208681457,0.058437446894468566,0.0389493927359581,0.8981320858001709
34,0.0026999809364069197,0.05507544872870176,0.03585865721106529,0.9095161557197571
35,0.0023387302665950674,0.05594158841621483,0.03605935722589493,0.906647801399231
36,0.0022147555723409716,0.05532762218713875,0.037287063896656036,0.9086856245994568
37,0.0021416074367366757,0.05593551984537451,0.03587046265602112,0.9066680073738098
38,0.0020763431209214855,0.05211347835104043,0.03331804275512695,0.9189869165420532
39,0.0021610450641995106,0.05222931931280558,0.03531777858734131,0.9186263680458069
40,0.0020625655672441047,0.04978127724092412,0.031614627689123154,0.9260756969451904
41,0.001871255775768077,0.05074196221872057,0.033036429435014725,0.9231950044631958
42,0.001933548230012735,0.04725014801655019,0.030865643173456192,0.9334019422531128
43,0.001684094964302323,0.04636088203870927,0.03052574209868908,0.9358851909637451
44,0.0018924916478093056,0.05375632838972634,0.03380608931183815,0.9137986302375793
45,0.0018354677171480622,0.0486982884346104,0.030489638447761536,0.9292571544647217
46,0.0015152559126898483,0.04717201764438033,0.03003396838903427,0.9336220026016235
47,0.00147638952555152,0.04527303028993253,0.02928973361849785,0.9388587474822998
48,0.001506267394314123,0.04777535627680535,0.029848340898752213,0.9319131970405579
49,0.0021869584392441217,0.06180467358655198,0.04010571911931038,0.8860543370246887
50,0.0016685088000539347,0.04594478651163078,0.028764799237251282,0.9370309114456177
51,0.001378961698826649,0.04464996757038253,0.029318079352378845,0.9405300617218018
52,0.0012971816565421998,0.04480138978570616,0.028510713949799538,0.9401260614395142
53,0.00124835788312125,0.044801093558499205,0.028560129925608635,0.9401268362998962
54,0.001419951460454339,0.043078866656826496,0.02705291286110878,0.9446415901184082
55,0.0014779513947039103,0.04325697288358019,0.027177557349205017,0.9441828727722168
56,0.0010901645567655044,0.042419886415109236,0.027711834758520126,0.9463222622871399
57,0.001078152210538974,0.0422171138320909,0.02659687027335167,0.9468342065811157
58,0.0010587676730638657,0.04289189422793148,0.027477435767650604,0.9451211094856262
59,0.0015645331201513352,0.06502008333026221,0.04374253749847412,0.8738898038864136
60,0.0017114762273088085,0.04290847180758298,0.028790485113859177,0.9450786709785461
61,0.0009779519588097602,0.04229126648222234,0.027369853109121323,0.9466472864151001
62,0.0009581277355370249,0.041704689343759586,0.026900527998805046,0.9481170177459717
63,0.0009447640163938666,0.042093793070816427,0.02731209062039852,0.9471443891525269
64,0.0010255979309209472,0.043466941903531654,0.028246013447642326,0.9436396956443787
65,0.0012309453228654627,0.0446407863656086,0.02871439978480339,0.9405545592308044
66,0.0010315489919722656,0.04217109300427929,0.02683866396546364,0.9469500780105591
67,0.0010318540799369872,0.03935666780562016,0.02550450898706913,0.9537947177886963
68,0.0009939402999032823,0.04312264048342836,0.029238775372505188,0.9445290565490723
69,0.0009856408558013808,0.04706030220811978,0.030169906094670296,0.9339360594749451
70,0.001958060471117599,0.04249703150174861,0.028226912021636963,0.9461268782615662
71,0.001264359243791927,0.04395086200430102,0.028458122164011,0.9423778057098389
72,0.0009598573957619545,0.04014405435275342,0.025903070345520973,0.9519274234771729
73,0.000781451618690078,0.03777714251313873,0.024193132296204567,0.957429051399231
74,0.000764370983822172,0.03926635537737652,0.025341885164380074,0.954006552696228
75,0.0007906519730407608,0.03930287017271804,0.02441415749490261,0.9539209604263306
76,0.0008086597965088646,0.03999943342124248,0.024849783629179,0.9522731304168701
77,0.0008558452076185323,0.04084076961998448,0.025709323585033417,0.9502443075180054
78,0.0008007261472170392,0.038461517524684886,0.025607459247112274,0.955872654914856
79,0.0007427235143361887,0.037533823544839945,0.024057600647211075,0.9579756855964661
80,0.0007807659641698325,0.037266695813922786,0.023835310712456703,0.95857173204422
81,0.0007470522351093892,0.039091967852254536,0.02493315376341343,0.9544141292572021
82,0.0009263797025649931,0.0391909513892917,0.025902578607201576,0.9541829824447632
83,0.000728114620602248,0.03719657609630476,0.024043846875429153,0.9587274789810181
84,0.000785038975022069,0.036485396747148124,0.024183036759495735,0.9602906107902527
85,0.0006840567224143716,0.03915084147794364,0.02477318048477173,0.9542767405509949
86,0.001027744443169521,0.03911878286174577,0.025341110303997993,0.9543516039848328
87,0.0006997799787581351,0.039266623687244574,0.026753325015306473,0.9540058970451355
88,0.0007047797069069074,0.03749074070333443,0.02424839697778225,0.9580721259117126
89,0.00063755133182627,0.03703251835505979,0.024126863107085228,0.9590907692909241
90,0.0007644698493202347,0.036868433150402564,0.024248970672488213,0.9594524502754211
91,0.0008380025698416456,0.04432266662716145,0.02825908735394478,0.9413987398147583
92,0.0008956278150114539,0.03754322180048983,0.023391379043459892,0.9579546451568604
93,0.0006180054859428577,0.03724715729921792,0.0241371002048254,0.9586151838302612
94,0.0005802461641103625,0.03705399861239289,0.02441287785768509,0.9590432643890381
